region,vehicle_used,per_travel
กรุงเทพมหานคร,เครื่องบิน,5.7
กรุงเทพมหานคร,รถไฟ,1.8
กรุงเทพมหานคร,รถโดยสารประจำทาง/รถตู้,17.0
กรุงเทพมหานคร,พาหนะส่วนตัว,68.7
กรุงเทพมหานคร,รถเช่า เช่น รถตู้ รถยนต์ รถบัส,6.8
ภาคกลาง,เครื่องบิน,1.4
ภาคกลาง,รถไฟ,1.1
ภาคกลาง,รถโดยสารประจำทาง/รถตู้,17.6
ภาคกลาง,พาหนะส่วนตัว,70.2
ภาคกลาง,รถเช่า เช่น รถตู้ รถยนต์ รถบัส,9.7
ภาคตะวันออก,เครื่องบิน,1.2
ภาคตะวันออก,รถไฟ,0.6
ภาคตะวันออก,รถโดยสารประจำทาง/รถตู้,19.0
ภาคตะวันออก,พาหนะส่วนตัว,67.6
ภาคตะวันออก,รถเช่า เช่น รถตู้ รถยนต์ รถบัส,11.6
ภาคเหนือ,เครื่องบิน,2.2
ภาคเหนือ,รถไฟ,1.1
ภาคเหนือ,รถโดยสารประจำทาง/รถตู้,13.6
ภาคเหนือ,พาหนะส่วนตัว,64.8
ภาคเหนือ,รถเช่า เช่น รถตู้ รถยนต์ รถบัส,18.3
ภาคตะวันออกเฉียงเหนือ,เครื่องบิน,1.1
ภาคตะวันออกเฉียงเหนือ,รถไฟ,1.1
ภาคตะวันออกเฉียงเหนือ,รถโดยสารประจำทาง/รถตู้,15.8
ภาคตะวันออกเฉียงเหนือ,พาหนะส่วนตัว,60.5
ภาคตะวันออกเฉียงเหนือ,รถเช่า เช่น รถตู้ รถยนต์ รถบัส,21.5
ภาคใต้,เครื่องบิน,6.0
ภาคใต้,รถไฟ,2.7
ภาคใต้,รถโดยสารประจำทาง/รถตู้,16.5
ภาคใต้,พาหนะส่วนตัว,61.1
ภาคใต้,รถเช่า เช่น รถตู้ รถยนต์ รถบัส,13.7
